Gain	
17.89	
114	-18.08
115	-18.27
116	-18.5
117	-18.81
118	-19.16
119	-19.61
120	-20.07
121	-20.63
122	-21.28
123	-21.97
124	-22.68
125	-23.48
126	-24.26
127	-24.97
128	-25.61
129	-26.15
130	-26.61
131	-26.98
132	-27.38
133	-27.78
134	-28.28
135	-28.96
136	-29.76
137	-30.71
138	-31.84
139	-33
140	-34.1
141	-34.71
142	-34.82
143	-34.48
144	-34.06
145	-33.92
146	-34.04
147	-34.64
148	-35.85
149	-38.23
150	-42.85
151	-55.84
152	-43.96
153	-36.72
154	-33.08
155	-30.47
156	-28.52
157	-27.03
158	-25.93
159	-25.13
160	-24.55
161	-24.23
162	-24.11
163	-24.22
164	-24.55
165	-25.1
166	-25.89
167	-26.68
168	-27.97
169	-29.38
170	-30.54
171	-30.63
172	-29.09
173	-26.97
174	-24.99
175	-23.35
176	-22.1
177	-21.08
178	-20.43
179	-20.02
180	-19.77
181	-19.84
182	-20.3
183	-21.05
184	-22.05
185	-23.31
186	-24.64
187	-25.95
188	-26.59
189	-26.3
190	-25.4
191	-24.37
192	-23.56
193	-23.05
194	-22.85
195	-23.03
196	-23.66
197	-24.86
198	-26.8
199	-30.03
200	-35.99
201	-42.01
202	-34.27
203	-29.44
204	-26.44
205	-24.43
206	-23.2
207	-22.46
208	-22.08
209	-22.08
210	-22.46
211	-23.16
212	-24.22
213	-25.63
214	-27.48
215	-29.74
216	-31.76
217	-32.04
218	-30.28
219	-28.3
220	-26.66
221	-25.53
222	-24.72
223	-24.26
224	-24.07
225	-24.14
226	-24.42
227	-24.86
228	-25.43
229	-25.88
230	-26.09
231	-25.88
232	-25.3
233	-24.47
234	-23.52
235	-22.58
236	-21.72
237	-20.95
238	-20.32
239	-19.72
240	-19.29
241	-18.95
242	-18.69
243	-18.49
244	-18.37
245	-18.29
246	-18.24
247	-18.22
248	-18.2
249	-18.18
250	-18.17
251	-18.13
252	-18.06
253	-17.97
254	-17.86
255	-17.76
256	-17.62
257	-17.5
258	-17.38
259	-17.27
260	-17.17
261	-17.08
262	-17.02
263	-16.98
264	-16.97
265	-17
266	-17.06
267	-17.18
268	-17.34
269	-17.55
270	-17.81
271	-18.13
272	-18.5
273	-18.94
274	-19.47
275	-20.07
276	-20.8
277	-21.62
278	-22.47
279	-23.2
280	-23.5
281	-23.24
282	-22.29
283	-20.83
284	-19.14
285	-17.45
286	-15.75
287	-14.12
288	-12.63
289	-11.28
290	-10.06
291	-8.93
292	-7.88
293	-6.93
294	-5.97
295	-5.15
296	-4.36
297	-3.66
298	-3.08
299	-2.55
300	-2.11
301	-1.74
302	-1.45
303	-1.26
304	-1.19
305	-1.23
306	-1.4
307	-1.74
308	-2.25
309	-3.01
310	-3.98
311	-5.38
312	-7.5
313	-10.64
314	-15.5
315	-20.37
316	-14.65
317	-9.24
318	-5.96
319	-3.42
320	-1.6
321	-0.2
322	0.96
323	1.77
324	2.38
325	2.75
326	2.93
327	2.91
328	2.66
329	2.2
330	1.39
331	0.32
332	-1.24
333	-3.15
334	-6.09
335	-10.02
336	-17.46
337	-32.02
338	-15.44
339	-11.45
340	-10.07
341	-10.1
342	-11.56
343	-11.99
344	-8.14
345	-3.59
346	0.57
347	3.72
348	6.3
349	8.54
350	10.33
351	11.95
352	13.23
353	14.35
354	15.35
355	16.13
356	16.77
357	17.27
358	17.62
359	17.83
